WHONET5 Antibiotic Code	Local Antibiotic Code	Antibiotic Name
MEM10	MEROPENEM	Meropenem
LNZ10	LINEZOLID	Linezolid
GEN10	GENTAMICIN	Gentamicin (CLSI,EUCAST-10µg)
SXT1.2	TRIMETOPRIM+SULFAMETOKSAZOL	Trimethoprim/Sulfamethoxazole (CLSI,EUCAST-1.25/23.75µg)
CIP5	CIPROFLOKSACIN	Ciprofloxacin (CLSI,EUCAST-5µg)
CTX5	CEFOKSITIN	Cefotaxime (EUCAST-5µg)
CLI2	KLINDAMYCIN	Clindamycin (CLSI,EUCAST-2µg)
TZP30	PIPERACILLIN+TAZOBAKTAM	Piperacillin/Tazobactam (EUCAST-30/6µg)
PEN1	BENZYLPENICILLIN	Penicillin G (EUCAST-1unit)
AMP10	AMPICILLIN	Ampicillin (CLSI,EUCAST(Enterobacterales)-10µg)
TCY30	TETRASYKLIN	Tetracycline (CLSI,EUCAST-30µg)
CAZ10	CEFTAZIDIM	Ceftazidime (EUCAST-10µg)
ATM30	AZTREONAM	Aztreonam (CLSI,EUCAST-30µg)
ERY15	ERYTROMYCIN	Erythromycin (CLSI,EUCAST-15µg)
DOX30	DOKSYSYKLIN	Doxycycline (CLSI,SRGA,BSAC-30µg)
CTX5	CEFOTAKSIM	Cefotaxime (EUCAST-5µg)
CXM30	CEFUROKSIM	Cefuroxime (CLSI,EUCAST-30µg)
RIF5	RIFAMPICIN	Rifampin (CLSI,EUCAST-5µg)
FUS10	FUSIDINSYRE	Fusidic acid (EUCAST-10µg)
OXA1	OKSACILLIN	Oxacillin (CLSI,EUCAST-1µg)
NOR10	NORFLOKSACIN	Norfloxacin (CLSI,EUCAST-10µg)
TOB10	TOBRAMYCIN	Tobramycin (CLSI,EUCAST-10µg)
TMP5	TRIMETOPRIM	Trimethoprim (CLSI,EUCAST-5µg)
AMC20	AMOKSICILLIN+KLAVULANSYRE	Amoxicillin/Clavulanic acid (CLSI,EUCAST(Most bacteria)-20/10µg)
TGC15	TIGESYKLIN	Tigecycline (CLSI,EUCAST-15µg)
MEC10	MECILLINAM	Mecillinam (Amdinocillin) (CLSI,EUCAST-10µg)
FOS200	FOSFOMYCIN	Fosfomycin (CLSI,EUCAST-200µg)
NIT100	NITROFURANTOIN	Nitrofurantoin (EUCAST-100µg)
VAN5	VANKOMYCIN	Vancomycin (EUCAST,NEO-5µg)
AMK30	AMIKACIN	Amikacin (CLSI,EUCAST-30µg)
FEP30	CEFEPIM	Cefepime (CLSI,EUCAST-30µg)
MTR10	METRONIDAZOL	Metronidazole (EUCAST-10µg)
FLU25	FLUKONAZOL	Fluconazole (CLSI,NEO-25µg)
AMB10	AMPHOTERICIN B	Amphotericin B (CLSI,NEO-10µg)
ANI	ANIDULAFUNGIN	Anidulafungin
VOR1	VORIKONAZOL	Voriconazole (CLSI,NEO-1µg)
ITR10	ITRAKONAZOL	Itraconazole (NEO-10µg)
IPM10	IMIPENEM	Imipenem (CLSI,EUCAST-10µg)
CEC30	CEFAKLOR	Cefaclor (CLSI,EUCAST-30µg)
STR10	STREPTOMYCIN	Streptomycin (CLSI,EUCAST,BSAC-10µg)
CPT5	CEFTAROLIN	Ceftaroline (EUCAST-5µg)
MUP200	MUPIROCIN	Mupirocin (EUCAST-200µg)
CHL30	KLORAMFENIKOL	Chloramphenicol (CLSI,EUCAST-30µg)
TEC30	TEIKOPLANIN	Teicoplanin (CLSI,EUCAST-30µg)
COL10	KOLISTIN	Colistin (CLSI,EUCAST-10µg)
CRO30	CEFTRIAKSON	Ceftriaxone (CLSI,EUCAST-30µg)
AMX10	AMOKSICILLIN	Amoxicillin (EUCAST-10µg)
CZA10	AVIBAKTAM + CEFTAZIDIM	Ceftazidime/Avibactam (EUCAST-10/4µg)
LVX5	LEVOFLOKSACIN	Levofloxacin (CLSI,EUCAST-5µg)
AZM15	AZITROMYCIN	Azithromycin (CLSI,EUCAST-15µg)
ETP10	ERTAPENEM	Ertapenem (CLSI,EUCAST-10µg)
QDA15	DALFOPRISTIN + QUINUPRISTIN	Quinupristin/Dalfopristin (CLSI,EUCAST-15µg)
SPT100	SPEKTINOMYCIN	Spectinomycin (CLSI,EUCAST-100µg)
CZT30	CEFTOLOZAN+TAZOBAKTAM	Ceftolozane/Tazobactam (CLSI,EUCAST-30/10µg)
PEF5	PEFLOKSACIN	Pefloxacin (5µg)
CLR15	KLARITROMYCIN	Clarithromycin (CLSI,EUCAST-15µg)
INH	ISONIAZID 01 MGL	Isoniazid
ETH	ETHAMBUTOL 50 MGL	Ethambutol
PZA	PYRAZINAMID 100 MGL	Pyrazinamide
RIF5	RIFAMPICIN 10 MGL	Rifampin (CLSI,EUCAST-5µg)
MEV20	MEROPENEM+VABORBACTAM	Meropenem/Vaborbactam (CLSI-20/10µg)
DOR10	DORIPENEM	Doripenem (CLSI,EUCAST-10µg)
RIB	RIFABUTIN	Rifabutin
DAP30	DAPTOMYCIN	Daptomycin (CLSI-30µg)
ETH	ETHAMBUTOL	Ethambutol
FDC	CEFIDEROCOL	Cefiderocol (CLSI)
PEN1	PENICILLIN G	Penicillin G
OXA1	OXACILLIN	Oxacillin
FEP30	CEFEPIME	Cefepime
FOX30	CEFOXITIN	Cefoxitin
CIP5	CIPROFLOXACIN	Ciprofloxacin
LVX5	LEVOFLOXACIN	Levofloxacin
MFX5	MOXIFLOXACIN	Moxifloxacin
NOR10	NORFLOXACIN	Norfloxacin
VAN5	VANCOMYCIN	Vancomycin
MTR10	METRONIDAZOLE	Metronidazole
CEC30	CEFACLOR	Cefaclor
AMX10	AMOXICILLIN	Amoxicillin
SPT100	SPECTINOMYCIN	Spectinomycin
COL10	COLISTIN	Colistin
CPT5	CEFTAROLINE	Ceftaroline
AMC20	AMOKSICILLIN+KLAVULANSYRE IV	Amoxicillin/Clavulanic acid (CLSI,EUCAST(Most bacteria)-20/10µg)
AMC20	AMOKSICILLIN+KLAVULANSYRE PO	Amoxicillin/Clavulanic acid (CLSI,EUCAST(Most bacteria)-20/10µg)
DIC5	DIKLOKSACILLIN	Dicloxacillin (DIN-5µg)
DIC5	KLOKSACILLIN	Dicloxacillin (DIN-5µg)
PEN1	BENZYLPENICILLIN IV	Penicillin G (EUCAST-1unit)
AMB10	AMFOTERICIN B	Amphotericin B (CLSI,NEO-10µg)
POS5	POSAKONAZOL	Posaconazole (CLSI,NEO-5µg)
CZA10	AVIBAKTAM+CEFTAZIDIM	Ceftazidime/Avibactam (EUCAST-10/4µg)
IMR10	IMIPENEM+RELEBAKTAM	Imipenem/Relebactam (CLSI-10/25µg)
TEM30	TEMOCILLIN	Temocillin (NEO-30µg)
CXM30	CEFUROKSIM IV	Cefuroxime (CLSI,EUCAST-30µg)
ERV20	ERAVASYKLIN	Eravacycline (CLSI-20µg)
RID30	CEFALEKSIN	Cefaloridine (30µg)
VAN5	VANCO MIC HVISA FOR MRSA	Vancomycin (EUCAST,NEO-5µg)
QDA15	DALFOPRISTIN+QUINUPRISTIN	Quinupristin/Dalfopristin (CLSI,EUCAST-15µg)
PEN5	FENOKSYMETYLPENICILLIN PO	Penicillin G (NEO-5µg)
PEN5	FENOKSYMETYLPENICILLIN	Penicillin G (NEO-5µg)
CIP5	CIPROFLOKSACIN (CIPROXIN)X	Ciprofloxacin (CLSI,EUCAST-5µg)
SXT1.2	TRIMSULFAX	Trimethoprim/Sulfamethoxazole (CLSI,EUCAST-1.25/23.75µg)
