WHONET Organism Code	Local Organism Code	Organism Name	WHONET Organism Flag
bfr	BACTEROIDES FRAGILIS	Bacteroides fragilis	
efm	ENTEROCOCCUS FAECIUM	Enterococcus faecium	
efa	ENTEROCOCCUS FAECALIS	Enterococcus faecalis	
ngo	NEISSERIA GONORRHOEAE	Neisseria gonorrhoeae	
kox	KLEBSIELLA OXYTOCA	Klebsiella oxytoca	
eco	ESCHERICHIA COLI	Escherichia coli	
mtu	MYCOBACTERIUM TUBERCULOSIS	Mycobacterium tuberculosis	
hin	HAEMOPHILUS INFLUENZAE	Haemophilus influenzae	
cal	CANDIDA ALBICANS	Candida albicans	
pro	CUTIBACTERIUM ACNES	Cutibacterium acnes	
cor	CORYNEBACTERIUM Sp.	Corynebacterium sp.	
sep	STAPHYLOCOCCUS EPIDERMIDIS	Staphylococcus epidermidis	
cdu	CANDIDA DUBLINIENSIS	Candida dubliniensis	
vpa	VEILLONELLA PARVULA	Veillonella parvula	
kpn	KLEBSIELLA PNEUMONIAE	Klebsiella pneumoniae	
eav	ENTEROCOCCUS AVIUM	Enterococcus avium	
bbi	PREVOTELLA BIVIA	Prevotella bivia	
nsu	NEISSERIA SUBFLAVA	Neisseria subflava	
gva	GARDNERELLA VAGINALIS	Gardnerella vaginalis	
cdf	CLOSTRIDIOIDES DIFFICILE	Clostridioides difficile	
mo-	MORAXELLA Sp.	Moraxella sp.	
tot	TURICELLA OTITIDIS	Turicella otitidis	
ci-	CITROBACTER Sp.	Citrobacter sp.	
slu	STAPHYLOCOCCUS LUGDUNENSIS	Staphylococcus lugdunensis	
eae	ENTEROBACTER AEROGENES	Enterobacter aerogenes	
aun	AEROCOCCUS URINAE	Aerococcus urinae	
bcs	BACILLUS Sp.	Bacillus sp.	
pmi	PROTEUS MIRABILIS	Proteus mirabilis	
sfo	SERRATIA FONTICOLA	Serratia fonticola	
pae	PSEUDOMONAS AERUGINOSA	Pseudomonas aeruginosa	
sho	STAPHYLOCOCCUS HOMINIS	Staphylococcus hominis	
mxe	MYCOBACTERIUM XENOPI	Mycobacterium xenopi	
cfr	CITROBACTER FREUNDII	Citrobacter freundii	
ci2	CORYNEBACTERIUM AMYCOLATUM	Corynebacterium amycolatum	
plt	ANAEROCOCCUS LACTOLYTICUS	Anaerococcus lactolyticus	
sca	STAPHYLOCOCCUS CAPITIS	Staphylococcus capitis	
hpy	HELICOBACTER PYLORI	Helicobacter pylori	
ecx	ENTEROBACTER CLOACAE COMPLEX	Enterobacter cloacae complex	
ac-	ACINETOBACTER Sp.	Acinetobacter sp.	
tru	TRICHOPHYTON RUBRUM	Trichophyton rubrum	
aba	ACINETOBACTER BAUMANNII	Acinetobacter baumannii	
asp	ASPERGILLUS Sp.	Aspergillus sp.	
sma	SERRATIA MARCESCENS	Serratia marcescens	
aes	AEROCOCCUS SANGUINICOLA	Aerococcus sanguinicola	
ctt	CLOSTRIDIUM TERTIUM	Clostridium tertium	
hap	AGGREGATIBACTER APHROPHILUS	Aggregatibacter aphrophilus	
ecr	EIKENELLA CORRODENS	Eikenella corrodens	
kvi	KLEBSIELLA VARIICOLA	Klebsiella variicola	
mos	MORAXELLA OSLOENSIS	Moraxella osloensis	
bth	BACTEROIDES THETAIOTAOMICRON	Bacteroides thetaiotaomicron	
fne	FUSOBACTERIUM NECROPHORUM	Fusobacterium necrophorum	
swa	STAPHYLOCOCCUS WARNERI	Staphylococcus warneri	
bca	MORAXELLA CATARRHALIS	Moraxella (Branh.) catarrhalis	
lac	LACTOBACILLUS Sp.	Lactobacillus sp.	
smg	ROTHIA MUCILAGINOSA	Rothia mucilaginosa	
pcn	PASTEURELLA CANIS	Pasteurella canis	
kpl	RAOULTELLA PLANTICOLA	Raoultella planticola	
fgl	CHRYSEOBACTERIUM GLEUM	Chryseobacterium gleum	
cst	CORYNEBACTERIUM STRIATUM	Corynebacterium striatum	
sgu	STREPTOCOCCUS PARASANGUINIS	Streptococcus parasanguinis	
bvu	BACTEROIDES VULGATUS	Bacteroides vulgatus	
kl-	KLEBSIELLA Sp.	Klebsiella sp.	
lad	LECLERCIA ADECARBOXYLATA	Leclercia adecarboxylata	
san	STREPTOCOCCUS ANGINOSUS	Streptococcus anginosus	
era	ENTEROCOCCUS RAFFINOSUS	Enterococcus raffinosus	
apt	ACINETOBACTER PITTII	Acinetobacter pittii	
cpe	CLOSTRIDIUM PERFRINGENS	Clostridium perfringens	
mmo	MORGANELLA MORGANII	Morganella morganii	
cgl	CANDIDA GLABRATA	Candida glabrata	
ctr	CANDIDA TROPICALIS	Candida tropicalis	
prt	PREVOTELLA Sp.	Prevotella sp.	
lah	LACTOBACILLUS RHAMNOSUS	Lactobacillus rhamnosus	
bde	PREVOTELLA DENTICOLA	Prevotella denticola	
pes	PEPTOSTREPTOCOCCUS ANAEROBIUS	Peptostreptococcus anaerobius	
gem	GEMELLA Sp.	Gemella sp.	
nwe	NEISSERIA WEAVERI	Neisseria weaveri	
en-	ENTEROBACTER Sp.	Enterobacter sp.	
shl	STAPHYLOCOCCUS HAEMOLYTICUS	Staphylococcus haemolyticus	
bce	BACILLUS CEREUS	Bacillus cereus	
pr-	PROTEUS Sp.	Proteus sp.	
fu-	FUSOBACTERIUM Sp.	Fusobacterium sp.	
fnu	FUSOBACTERIUM NUCLEATUM	Fusobacterium nucleatum	
atc	ACTINOMYCES TURICENSIS	Actinomyces turicensis	
aod	ACTINOMYCES ODONTOLYTICUS	Actinomyces odontolyticus	
